cast,crew,date,playwright,playwright_formatted,playwright_formatted_long,run,season,title,type,venue,year_title
Julian Smith/Michael Addison/Michael Addison/Peter Hunter-Johnston/Philip Orchard/Diane Higginson/Julie Taberner/Frances Plumbly/Chritine Allen/????na Brown/Joanne Churcher/Cathy Clowes/Sue Munro/Karin Brown/Sally Berridge/Liz Beeston/Linda Masey/Sue Heppell/Anne Rogers/Stephen Medcalf/Jonathan Gibson/Paul Adam/Julian Smyth/John Christopher/Philip Orchard/Martyn Cox/,Andrew Hubbard/Paul Adam/Martyn Cox/Mick Foley/Lynne Harrison/Diane Higginson/Linda Foley/Marion Hubbard/Sue Munro/Hazel Chapman/Russell Keable/John Culley/??? Parkin/??? Wright/??? Huggins/Rebecca Philips/Norbert Spencer/David Edwards/??? Whatmore/Sue Joynes/Jenny Godfrey/Francis Rielly/Alison Mackay/Jayne Locksley-Hughes/Martin Grady/Ally Kessler/Chris Arnold/Sue Canham/Peter Robbins/Rosie Johnson/Michael O'Callaghan/Richard Bale/,NA,Gilbert & Sullivan,by Gilbert & Sullivan,by Gilbert & Sullivan,1977-78 (Dates Unknown),In House,The Mikado,show,New Theatre,1977-78
Matthew Bannister/,NA,NA,null,Playwright Unknown,Playwright Unknown,1978-79 (Dates Unknown),Edinburgh,Afternoon Tease,show,unknown,1978-79
Peter Holdway/Crispin Harris/Michelle Mohajer/Glen Kinch/,Graeme Belchere/Alison Lumb/Matthew Bannister/Alison Scarr/Peter Sells/,NA,Crispin Harris,by Crispin Harris,by Crispin Harris,1978-79 (Dates Unknown),Edinburgh,Froots. One Woman's Search for Her Oranges,show,unknown,1978-79
Sally Cross/,An English Lecturer/,NA,Bertolt Brecht,by Bertolt Brecht,by Bertolt Brecht; Translated by Elisabeth Hauptmann,1978-79 (Dates Unknown),In House,Joan of the Stockyards,show,null,1978-79
Peter Cantrell/,Simon Shepherd/,NA,null,Playwright Unknown,Playwright Unknown,1978-79 (Dates Unknown),In House,Sejanus,show,New Theatre,1978-79
NA,NA,NA,null,Playwright Unknown,Playwright Unknown,1978-79 (Dates Unknown),Edinburgh,Tests,show,unknown,1978-79
Alison Golding/Peter Holdway/,Chris Toms/Graeme Belchere/Alison Lumb/Matthew Bannister/Alison Scarr/Peter Sells/,NA,David Wood,by David Wood,by David Wood,1978-79 (Dates Unknown),Edinburgh,The Plotters of Cabbage Patch Corner,show,unknown,1978-79
Sally Cross/,NA,NA,John Gay,by John Gay,by John Gay; Translated by Elisabeth Hauptmann,1978-79 (Dates Unknown),In House,The Threepenny Opera,show,null,1978-79
Scott Cherry/,Chris Toms/,NA,Mervyn Peake,by Mervyn Peake,by Mervyn Peake,1978-79 (Dates Unknown),Edinburgh,The Wit to Woo,show,unknown,1978-79
Jon Davison/,Jem Carden/,NA,Samuel Beckett,by Samuel Beckett,by Samuel Beckett,1982-83 (Dates Unknown),In House,Krapp's Last Tape,show,null,1982-83
Jon Davison/,Jem Carden/,NA,Peter Weiss,by Peter Weiss,by Peter Weiss,1982-83 (Dates Unknown),In House,Marat/Sade,show,null,1982-83
Vanessa Greatorex/Simon Catchpole/,Jem Carden/,NA,Jean Genet,by Jean Genet,by Jean Genet,1983-84 (Dates Unknown),In House,The Balcony,show,null,1983-84
Vanessa Greatorex/Andy Katz/,NA,NA,Henry Fielding,by Henry Fielding,by Henry Fielding,1983-84 (Dates Unknown),In House,Tom Thumb the Great,show,null,1983-84
Vanessa Greatorex/,Simon Fairington/,NA,null,Playwright Unknown,Playwright Unknown,1984-85 (Dates Unknown),In House,Mr Justice Cocklecarrot and the Case of the Twelve Red-Bearded Dwarves,show,null,1984-85
NA,NA,NA,David Storey,by David Storey,by David Storey,1989-90 (Dates Unknown),In House,Sisters,show,null,1989-90
Claire Dykema/Kirsty Johnson/,Gregory Ashton/,NA,null,Playwright Unknown,Playwright Unknown,1990-91 (Dates Unknown),In House,Frosted Icing,show,null,1990-91
Lesley Jones/Simon Heath/Jon Keane/Helen Punt/Gregory Ashton/,Claire Dykema/,NA,William Shakespeare,by William Shakespeare,by William Shakespeare,1990-91 (Dates Unknown),In House,Macbeth,show,null,1990-91
Anthony Green/,NA,NA,Franz Kafka,by Franz Kafka,by Franz Kafka,1992-93 (Dates Unknown),Edinburgh,Metamorphosis,show,St Columba's by the Castle,1992-93
Anthony Green/,Richard Davidson/,NA,Richard Davidson,by Richard Davidson,by Richard Davidson,1992-93 (Dates Unknown),Edinburgh,Storybook,show,St Columba's by the Castle,1992-93
Anthony Green/,Peter Collins/,NA,Arthur Miller,by Arthur Miller,by Arthur Miller,1992-93 (Dates Unknown),In House,The Crucible,show,New Theatre,1992-93
NA,Christopher Wix/,NA,null,Playwright Unknown,Playwright Unknown,1992-93 (Dates Unknown),In House,The Dream Play,show,New Theatre,1992-93
Anthony Green/,Tim Wood/,NA,Nikolai Gogol,by Nikolai Gogol,by Nikolai Gogol,1992-93 (Dates Unknown),Edinburgh,The Overcoat,show,St Columba's by the Castle,1992-93
Richard Davidson/,Anthony Green/,NA,Richard Davidson,by Richard Davidson,by Richard Davidson,1993-94 (Dates Unknown),Edinburgh,Conventional Demons,show,Pleasance Courtyard,1993-94
Mark Heywood/,NA,NA,John Millington,by John Millington,by John Millington,1993-94 (Dates Unknown),In House,Playboy of the Western World,show,New Theatre,1993-94
Anthony Green/,Sam/Jim/,NA,null,Playwright Unknown,Playwright Unknown,1993-94 (Dates Unknown),In House,Withnail and I,show,New Theatre,1993-94
NA,David Trennery/,NA,John Godber,by John Godber,by John Godber,1994-95 (Dates Unknown),In House,Bouncers,show,New Theatre,1994-95
NA,Christopher Wix/,NA,Aristophanes,by Aristophanes,by Aristophanes,1994-95 (Dates Unknown),In House,Lysistrata,show,New Theatre,1994-95
Martin Pye/James Tyson/Tristan Halford-Maw/Damian Lynch/Giles Daubeney/Gyuri Sarossy/Paul Harrison/Richard Welbourne/Simon Hall/Mike Green/Nick Walton/Matthew Cowlishaw/Olivia Haussels/Marissa Holden/Claire Hobbs/Caroline Mabon/Caroline Warburton/David Trennery/Andrew Taylor/Sonja Webb/Rachel Webb/,Mark Heywood/Sarah Hannafin/Andrew Batty/Rebecca Bowen/Christopher Wix/Rachel Gollin/Hana Iqbal/Jasmeet Kaur/Michael North/Sarah Hannafin/Matthew Peck/Abigail Duckworth/Grace Sentamu/Adam McCreight/Steve Broughton/Catherine Williams/Jo Boyd/Pete Kinglsey/Adam Key/Jenny Savage/Joy McDonald/Helen Wilson/Lindsay Harrison/Steve Schofield/Sean Turner/Ashton Gray/,NA,William Shakespeare,by William Shakespeare,by William Shakespeare,1994-95 (Dates Unknown),In House,Macbeth,show,New Theatre,1994-95
NA,NA,NA,Michael Frayn,by Michael Frayn,by Michael Frayn,1994-95 (Dates Unknown),In House,Noises Off,show,New Theatre,1994-95
Richard Davidson/,Anthony Green/,NA,Richard Davidson,by Richard Davidson,by Richard Davidson,1994-95 (Dates Unknown),Edinburgh,Plastic Madonna,show,St Columba's by the Castle,1994-95
NA,NA,NA,null,Playwright Unknown,Playwright Unknown,1994-95 (Dates Unknown),Fundraiser,Stars in Their Eyes,show,New Theatre,1994-95
Andrew Muir/Mark Heywood/Gary Nuttall/Dave Anderson/Ed Craft/Lee Smith/Damian Lynch/Garan Halcombe/Rosie Brunt/Laura Childs/Grace Sentamu/Josie Cosserat/Michelle Haslem/Matthew Tizard/Matthew Cowlishaw/David Coleman/Christopher Wix/Simon Hall/Jeremy Kendal/Nick Howard/Joy McDonald/Sarah Hannafin/Katie Bull/Rachel Evans/Michelle Harper/Terry Payne/Richard Brown/Andrew Batty/Malcolm Rothera/,Kate McIntyre/Caroline Warburton/Sarah Nichols/Jo Leadbitter/Jane Hinton/Nicole Koupepides/Michael North/Rachel Gollin/Andrew Taylor/Rachel Austin/Emma Snowden/Martin Coulton/Martin Coulton/Adam McCreight/Susan Avanzi/Helen Blackburn/Jason Alldridge/Steve Broughton/Karl Jeffrey/Fiona McAllister/Louise Ray/Emily Powell/David Matthews/Gilbert & Hall Ltd/Mechanical Engineering Dept/Buttery Bar/Christopher Wix/,NA,Arthur Laurents/Leonard Bernstein and Stephen Sondheim,by Arthur Laurents/Leonard Bernstein and Stephen Sondheim,by Arthur Laurents/Leonard Bernstein and Stephen Sondheim,1994-95 (Dates Unknown),In House,West Side Story,show,New Theatre,1994-95
NA,David Trennery/Mark Heywood/,1996-06-24,William Shakespeare,by William Shakespeare,by William Shakespeare,24-29 June 1996,In House,A Midsummer Night's Dream,show,Trent Building Courtyard,1995-96
NA,Gemma Robinson/,NA,Tom Stoppard,by Tom Stoppard,by Tom Stoppard,1995-96 (Dates Unknown),In House,Arcadia,show,New Theatre,1995-96
Simon Burkey/Will Abell/Amanda Cannon/Carrie Rossiter/Damian Higgins/Emily Roe/Martin Pye/Bhanu Krishnan/,David Trennery/Jenny Dawkins/Laura Childs/Paul Woodward/Michael North/Jo Rooms/Sarah Barker/Martin Smith/Alex Seadon/Parmjit Sagoo/Ed Craft/Andrew Muir/Marilyn Bird/Paul Woodward/Life Science Department/Poseurs Fancy Dress/The Golden Cage/Top Hat Antiques Centre/,NA,Mary Shelley,by Mary Shelley,by Mary Shelley,1995-96 (Dates Unknown),In House,Frankenstein,show,New Theatre,1995-96
Mark Heywood/Michelle Harper/,Sarah Hannafin/,NA,Jim Jacobs and Warren Casey,by Jim Jacobs and Warren Casey,by Jim Jacobs and Warren Casey,1995-96 (Dates Unknown),In House,Grease the Musical,show,New Theatre,1995-96
NA,David Trennery/,NA,null,Playwright Unknown,Playwright Unknown,1995-96 (Dates Unknown),In House,Jekyll & Hyde,show,New Theatre,1995-96
NA,David Trennery/,NA,null,Playwright Unknown,Playwright Unknown,1995-96 (Dates Unknown),Edinburgh,Plastic Madonna,show,null,1995-96
NA,NA,NA,Anton Chekhov,by Anton Chekhov,by Anton Chekhov,1995-96 (Dates Unknown),In House,The Bear,show,New Theatre,1995-96
Mark Heywood/,Cathy Ayton/,NA,John Hughes,by John Hughes,by John Hughes,1995-96 (Dates Unknown),In House,The Breakfast Club,show,New Theatre,1995-96
NA,NA,NA,null,Playwright Unknown,Playwright Unknown,1996-97 (Dates Unknown),In House,Absent Friends,show,New Theatre,1996-97
Jeremy Brooker/Lawrence Evans/Andrew Watson/Ben Moore/Alex Williams/Phil Andrews/,Gemma Robinson/Anna Metcalf/Neil Thomson/Kevin Telfer/Lucy Phillips/Alex Mackenzie-Smith/Sarah Barker/Alex Foster/Lazy/Lucy Phillips/Bernice Low/Claire Messore/Matt Price/,NA,Dario Fo,by Dario Fo,by Dario Fo,1996-97 (Dates Unknown),In House,Accidental Death of an Anarchist,show,New Theatre,1996-97
NA,NA,NA,Christopher Isherwood/John Kander and Fred Ebb,by Christopher Isherwood/John Kander and Fred Ebb,by Christopher Isherwood/John Kander and Fred Ebb,1996-97 (Dates Unknown),In House,Cabaret the musical,show,New Theatre,1996-97
NA,Cathy Ayton/,NA,William Shakespeare,by William Shakespeare,by William Shakespeare,1996-97 (Dates Unknown),In House,Hamlet,show,New Theatre,1996-97
NA,Claire McKenzie/,NA,Stuart Scott,by Stuart Scott,by Stuart Scott,1996-97 (Dates Unknown),In House,Housemates,show,New Theatre,1996-97
NA,Jonathan Urquhart/Andrew Watson/,NA,Stephen Fry,by Stephen Fry,by Stephen Fry,1996-97 (Dates Unknown),In House,Latin,show,New Theatre,1996-97
NA,Gemma Robinson/Ruth Bratt/,NA,Caryl Churchill,by Caryl Churchill,by Caryl Churchill,1996-97 (Dates Unknown),Edinburgh,Mad Forest,show,New Theatre,1996-97
NA,NA,NA,null,Playwright Unknown,Playwright Unknown,1996-97 (Dates Unknown),In House,Showstoppers Musical Review,show,New Theatre,1996-97
NA,NA,NA,null,Playwright Unknown,Playwright Unknown,1996-97 (Dates Unknown),In House,Star Whores Special Derision (Sketch Show),show,New Theatre,1996-97
NA,Carrie Rossiter/,NA,Harold Pinter,by Harold Pinter,by Harold Pinter,1996-97 (Dates Unknown),In House,The Birthday Party,show,New Theatre,1996-97
NA,Jolin Warren/,NA,AR Gurney,by AR Gurney,by AR Gurney,1996-97 (Dates Unknown),In House,The Cocktail Hour,show,New Theatre,1996-97
NA,NA,NA,William Shakespeare,by William Shakespeare,by William Shakespeare,1996-97 (Dates Unknown),In House,The Tempest,show,New Theatre,1996-97
NA,Gemma Robinson/Claire McKenzie/,NA,William Shakespeare,by William Shakespeare,by William Shakespeare,1996-97 (Dates Unknown),In House,Twelfth Night,show,New Theatre,1996-97
Anthony Cooke/Paul Ham/Mike Sanders/Nicole Ross-Anderson/Ross Parish/Will Beckett/Claire McKenzie/Tania Wood/Catherine Foley/Zulfiquar Dala/,Stuart Scott/Zulfiquar Dala/Cathy Ayton/Matt Boyd/Matt Eastaugh/Lazy/Sarah Rossiter/Jenny Anderson/Alkesh Vaghmaria/courtesy of Stu's Mum/,1997-03-17,Stuart Scott/Ben Heusner and David Todd,by Stuart Scott/Ben Heusner and David Todd,by Stuart Scott/Ben Heusner and David Todd,17-19 March 1997,In House,Who Claimed Roger's Habit,show,New Theatre,1996-97
NA,Nick Tyler/,NA,null,Playwright Unknown,Playwright Unknown,1997-98 (Dates Unknown),In House,The Changeling (The Funny Bits),show,New Theatre,1997-98
Michelle Harper/,NA,1998-03-16,null,Playwright Unknown,Playwright Unknown,16-19 March 1998,In House,A Slice of Saturday Night Musical,show,New Theatre,1997-98
NA,NA,NA,null,Playwright Unknown,Playwright Unknown,1997-98 (Dates Unknown),In House,Angry Wo/Men,show,New Theatre,1997-98
NA,Mike Sanders/,NA,John Godber,by John Godber,by John Godber,1997-98 (Dates Unknown),In House,Bouncers,show,New Theatre,1997-98
Michelle Harper/,Cara Turtington/Anthony Cook/Nicole Ross-Anderson/,NA,José Fernandez/Steve Margoshes and Jacques Levy,by José Fernandez/Steve Margoshes and Jacques Levy,by José Fernandez/Steve Margoshes and Jacques Levy,1997-98 (Dates Unknown),In House,Fame the Musical,show,New Theatre,1997-98
NA,NA,NA,null,Playwright Unknown,Playwright Unknown,1997-98 (Dates Unknown),In House,Frogs,show,New Theatre,1997-98
NA,Claire McKenzie/,1998-03-04,Ben Elton,by Ben Elton,by Ben Elton,4-5 March 1998,In House,Gasping,show,New Theatre,1997-98
NA,NA,NA,John Wordsworth and Jonathan Urquhart,by John Wordsworth and Jonathan Urquhart,by John Wordsworth and Jonathan Urquhart,1997-98 (Dates Unknown),In House,Hitchcock's Bollocks,show,New Theatre,1997-98
NA,Nick Tyler/,1998-04-29,Simon Ellis,by Simon Ellis,by Simon Ellis,29 April-1 May 1998,In House,In Absentia Amo Te,show,New Theatre,1997-98
NA,Oliver Snowball/,NA,Oliver Snowball,by Oliver Snowball,by Oliver Snowball,1997-98 (Dates Unknown),In House,Loose Knots,show,New Theatre,1997-98
NA,Nick Tyler/Zed Dalal/Caro Middleton/,NA,null,Playwright Unknown,Playwright Unknown,1997-98 (Dates Unknown),In House,Romeo and Juliet / The Frog and I,show,New Theatre,1997-98
NA,Nick Tyler/,NA,Thomas Middleton and William Rowley,by Thomas Middleton and William Rowley,by Thomas Middleton and William Rowley,1997-98 (Dates Unknown),In House,The Changeling,show,New Theatre,1997-98
NA,Claire McKenzie/,NA,Stuart Scott,by Stuart Scott,by Stuart Scott,1997-98 (Dates Unknown),Edinburgh,The Robin Hood Revue,show,null,1997-98
NA,Louise Owen/,NA,William Shakespeare,by William Shakespeare,by William Shakespeare,1997-98 (Dates Unknown),In House,The Tempest,show,New Theatre,1997-98
NA,Stuart Scott/,1998-06-15,null,Playwright Unknown,Playwright Unknown,15 June 1998,In House,The Titanics Revue (Sketch Show),show,New Theatre,1997-98
NA,Neil Chawla/,NA,Neil Chawla,by Neil Chawla,by Neil Chawla,1997-98 (Dates Unknown),In House,The Tragedy Of The Invention,show,New Theatre,1997-98
NA,NA,NA,Franz Kafka,by Franz Kafka,by Franz Kafka,1997-98 (Dates Unknown),In House,The Trial,show,New Theatre,1997-98
NA,Will Abell/,1998-03-10,null,Playwright Unknown,Playwright Unknown,10-12 March 1998,In House,The Trial,show,New Theatre,1997-98
NA,Carrie Rossiter/,NA,Caryl Churchill,by Caryl Churchill,by Caryl Churchill,1997-98 (Dates Unknown),In House,Top Girls,show,New Theatre,1997-98
NA,Paul Young/,NA,Paul Young,by Paul Young,by Paul Young,1997-98 (Dates Unknown),In House,Twice Nightly,show,New Theatre,1997-98
NA,NA,NA,null,Playwright Unknown,Playwright Unknown,1997-98 (Dates Unknown),Edinburgh,We Should Get Out More Sketch Show,show,null,1997-98
Paul Kerensa/,Mike Sanders/,1998-05-06,Reginald Rose,by Reginald Rose,by Reginald Rose,6-8 May 1998,In House,12 Angry Men,show,New Theatre,1998-99
NA,Sarah Clapham/Tabitha Siklos/,1999-03-08,Oscar Wilde,by Oscar Wilde,by Oscar Wilde,8-10 March 1999,In House,An Ideal Husband,show,New Theatre,1998-99
NA,Anna Gerratt/,1998-11-28,Federico García Lorca,by Federico García Lorca,by Federico García Lorca,28-30 November 1998,In House,Blood Wedding,show,New Theatre,1998-99
Katie Rowley-Jones/,Alex Pett/,1999-03-16,Jonathan Pett & Fiorella Ruas,by Jonathan Pett & Fiorella Ruas,by Jonathan Pett & Fiorella Ruas,16-18 March 1999,In House,Chasing Dolphins,show,New Theatre,1998-99
Katie Rowley-Jones/,NA,1998-12-07,Larry Gelbart,by Larry Gelbart,by Larry Gelbart,7-12 December 1998,In House,City of Angels,show,New Theatre,1998-99
NA,NA,1998-11-06,Irvine Welsh,by Irvine Welsh,by Irvine Welsh,6-8 November 1998,In House,Head State,show,New Theatre,1998-99
Paul Kerensa/,Tom Kirkham/,1998-11-20,Alan Menken and Howard Ashman,by Alan Menken and Howard Ashman,by Alan Menken and Howard Ashman,20-24 November 1998,In House,Little Shop of Horrors,show,New Theatre,1998-99
NA,NA,1999-02-24,null,Playwright Unknown,Playwright Unknown,24-26 February 1999,In House,Out for a Duck,show,New Theatre,1998-99
NA,NA,1999-06-17,null,Playwright Unknown,Playwright Unknown,17-19 June 1999,In House,Summer Nights,show,New Theatre,1998-99
NA,Paul Young/,1999-03-02,null,Playwright Unknown,Playwright Unknown,2-4 March 1999,In House,The Last Supper,show,New Theatre,1998-99
NA,NA,1998-11-12,Tom Stoppard,by Tom Stoppard,by Tom Stoppard,12-14 November 1998,In House,The Real Inspector Hound,show,New Theatre,1998-99
Paul Kerensa/,Jo Bloom/,1999-06-22,null,Playwright Unknown,Playwright Unknown,22-24 June 1999,In House,Tom Jones,show,New Theatre,1998-99
NA,Tom Kirkham/,NA,Paul Kerensa,by Paul Kerensa,by Paul Kerensa,1998-99 (Dates Unknown),Edinburgh,Twice Nightly,show,null,1998-99
NA,Jana Phillips/,NA,Arthur Miller,by Arthur Miller,by Arthur Miller,1999-00 (Dates Unknown),In House,All My Sons,show,New Theatre,1999-00
NA,Nicola Snarey/,1999-12-01,George Bernard Shaw,by George Bernard Shaw,by George Bernard Shaw,1-3 December 1999,In House,Arms and The Man,show,New Theatre,1999-00
NA,NA,NA,Alan Ayckbourn,by Alan Ayckbourn,by Alan Ayckbourn,1999-00 (Dates Unknown),In House,Confusions,show,New Theatre,1999-00
NA,NA,NA,Christopher Marlowe,by Christopher Marlowe,by Christopher Marlowe,1999-00 (Dates Unknown),In House,Dr Faustus,show,New Theatre,1999-00
NA,Harry Fehr/,1999-11-24,Euripides,by Euripides,by Euripides,24-26 November 1999,In House,Hecabe,show,New Theatre,1999-00
NA,Ben Richards/Ben Richards/Ben Richards/Adam Godden/James Law/,1999-12-07,Ben Richards,by Ben Richards,by Ben Richards,7-11 December 1999,In House,Lenton Boulevard,show,New Theatre,1999-00
NA,Laura Jackson/Sam Partridge/,NA,null,Playwright Unknown,Playwright Unknown,1999-00 (Dates Unknown),In House,Limelight Musical Review,show,New Theatre,1999-00
NA,Tom Kirkham/,NA,Willy Russell,by Willy Russell,by Willy Russell,1999-00 (Dates Unknown),In House,Our Day Out,show,New Theatre,1999-00
NA,Julia Scott-Russell/,NA,William Shakespeare,by William Shakespeare,by William Shakespeare,1999-00 (Dates Unknown),In House,Richard III,show,New Theatre,1999-00
NA,NA,NA,Mark Ravenhill,by Mark Ravenhill,by Mark Ravenhill,1999-00 (Dates Unknown),In House,Shopping and F***ing,show,New Theatre,1999-00
NA,Caroline Cracknell/,NA,null,Playwright Unknown,Playwright Unknown,1999-00 (Dates Unknown),In House,The Office,show,New Theatre,1999-00
NA,Lizzie Ridler/unknown/Adam Godden/Adam Godden/,1999-11-18,Jim Cartwright,by Jim Cartwright,by Jim Cartwright,18-20 November 1999,In House,The Rise & Fall of Little Voice,show,New Theatre,1999-00
